 ***********************************
   FLAT-PLATE BOUNDARY LAYER MACH 2 
 ***********************************
 Skin friction        =   3.417213499947759E-003
 Friction Mach number =   8.291730685127277E-002
 ***********************************
 Reynolds numbers:
 ***********************************
 Retau    =   204.807471832453     
 Redelta  =   10215.9741742214     
 Retheta  =   873.357807955901     
 Redelta2 =   556.942311262552     
 ***********************************
 Shape factors:
 ***********************************
 dstar/delta99 =   0.267926153980111     
 theta/delta99 =   8.548942989301017E-002
 H             =    3.13402667809833     
 Hinc          =    1.54444660343047     
 ***********************************
 Wall-normal profiles:              
 ***********************************

      y/delta99          y+            u+             u_vd+         urms+          vrms+           wrms+          uv+      sqrt(rho/rho_w)     prms+          trms+         rhorms+     y+ du_vd+/dy+      S(u)            S(T)           F(u)           F(T)           omx+           omy+           omz+
      0.2325911     47.6364002     13.9726787     14.5984524      1.5862456      0.9163702      1.1364552     -0.6781479      1.1467919      2.3846289      6.4681248      0.1165518      2.7508802     -0.4670594      0.0690036      3.0964432      2.5712293      0.1479256      0.1369300      0.1368135
      0.2387756     48.9030340     14.0357797     14.6708714      1.5687612      0.9162394      1.1329938     -0.6728390      1.1485431      2.3746396      6.4286178      0.1165649      2.7689700     -0.4624449      0.0739786      3.0997166      2.5799015      0.1461535      0.1350529      0.1347784
      0.2450873     50.1957121     14.0988676     14.7433857      1.5517381      0.9157236      1.1293550     -0.6672778      1.1502926      2.3641133      6.3891533      0.1165714      2.7902932     -0.4576215      0.0789032      3.1017639      2.5878261      0.1443702      0.1332228      0.1328047
      0.2515295     51.5151228     14.1620228     14.8160887      1.5351388      0.9148349      1.1255414     -0.6614810      1.1520668      2.3534932      6.3496998      0.1165814      2.8143591     -0.4525750      0.0837261      3.1025441      2.5950423      0.1426217      0.1314368      0.1308808
      0.2581057     52.8619689     14.2253075     14.8890530      1.5189323      0.9135837      1.1215835     -0.6554777      1.1538419      2.3422984      6.3102048      0.1165833      2.8400322     -0.4473783      0.0884721      3.1022198      2.6017469      0.1409115      0.1296902      0.1290063
      0.2648193     54.2369675     14.2887489     14.9623115      1.5031072      0.9119754      1.1175233     -0.6493211      1.1556437      2.3309222      6.2707307      0.1165869      2.8656460     -0.4421706      0.0932757      3.1011057      2.6080409      0.1392003      0.1279788      0.1271616
      0.2716739     55.6408510     14.3523413     15.0358590      1.4876739      0.9100232      1.1133992     -0.6430428      1.1574482      2.3189579      6.2314842      0.1165855      2.8902072     -0.4370787      0.0982591      3.0992862      2.6138859      0.1374761      0.1263009      0.1253272
      0.2786733     57.0743670     14.4160720     15.1096824      1.4726479      0.9077393      1.1092019     -0.6366582      1.1592810      2.3068020      6.1925878      0.1165909      2.9141198     -0.4321766      0.1034340      3.0966241      2.6193278      0.1357212      0.1246558      0.1235008
      0.2858210     58.5382790     14.4799481     15.1837914      1.4580476      0.9051463      1.1048722     -0.6301695      1.1611181      2.2940934      6.1539542      0.1165929      2.9385377     -0.4275518      0.1088070      3.0935074      2.6245715      0.1339393      0.1230411      0.1216763
      0.2931210     60.0333666     14.5440017     15.2582251      1.4438664      0.9022616      1.1003063     -0.6235735      1.1629849      2.2811953      6.1154598      0.1165976      2.9647093     -0.4233772      0.1144091      3.0907122      2.6296964      0.1321717      0.1214544      0.1198629
      0.3005771     61.5604261     14.6082927     15.3330548      1.4300610      0.8991093      1.0954544     -0.6168563      1.1648579      2.2677766      6.0770300      0.1165958      2.9940292     -0.4197994      0.1202109      3.0885027      2.6346047      0.1304341      0.1198930      0.1181187
      0.3081932     63.1202707     14.6729081     15.4083840      1.4165757      0.8956982      1.0903244     -0.6100157      1.1667616      2.2541821      6.0385722      0.1165943      3.0276177     -0.4168835      0.1261867      3.0865920      2.6391194      0.1287067      0.1183543      0.1164825
      0.3159735     64.7137311     14.7379458     15.4843297      1.4033818      0.8920438      1.0849411     -0.6030561      1.1686735      2.2401287      6.0000045      0.1165854      3.0654045     -0.4145956      0.1323785      3.0843377      2.6432040      0.1269878      0.1168381      0.1149145
      0.3239220     66.3416560     14.8034796     15.5609810      1.3904502      0.8881544      1.0793015     -0.5959819      1.1706199      2.2259649      5.9614766      0.1165801      3.1050951     -0.4126503      0.1388625      3.0806070      2.6467834      0.1253018      0.1153440      0.1133800
      0.3320431     68.0049123     14.8695175     15.6383510      1.3777485      0.8840425      1.0734181     -0.5887993      1.1725795      2.2114607      5.9232857      0.1165788      3.1436076     -0.4107562      0.1455611      3.0747587      2.6495732      0.1236416      0.1138695      0.1118269
      0.3403410     69.7043859     14.9360244     15.7164021      1.3652279      0.8797065      1.0672970     -0.5814915      1.1745778      2.1969700      5.8855345      0.1165939      3.1804957     -0.4089567      0.1523368      3.0681575      2.6516448      0.1220144      0.1124111      0.1102271
      0.3488202     71.4409818     15.0029870     15.7951224      1.3528274      0.8751592      1.0609533     -0.5740359      1.1765925      2.1822990      5.8481473      0.1166208      3.2175571     -0.4076777      0.1591629      3.0628205      2.6534211      0.1204076      0.1109667      0.1086824
      0.3574851     73.2156249     15.0704248     15.8745384      1.3405496      0.8704054      1.0543627     -0.5664320      1.1786476      2.1677567      5.8110559      0.1166667      3.2557573     -0.4074392      0.1661785      3.0600863      2.6553298      0.1188206      0.1095348      0.1072014
      0.3663404     75.0292602     15.1383607     15.9546813      1.3284356      0.8654510      1.0474782     -0.5586931      1.1807199      2.1531055      5.7742948      0.1167256      3.2948387     -0.4084133      0.1735428      3.0593624      2.6572293      0.1172909      0.1081125      0.1056860
      0.3753909     76.8828538     15.2068101     16.0355732      1.3164430      0.8602771      1.0403044     -0.5508116      1.1828320      2.1385471      5.7378574      0.1168030      3.3344564     -0.4103293      0.1812651      3.0587995      2.6589335      0.1157591      0.1066920      0.1041341
      0.3846412     78.7773927     15.2757817     16.1172284      1.3044903      0.8548787      1.0328617     -0.5427944      1.1849596      2.1238223      5.7016255      0.1168890      3.3742052     -0.4129817      0.1893646      3.0577125      2.6605637      0.1142012      0.1052650      0.1025651
      0.3940964     80.7138860     15.3452743     16.1996495      1.2925269      0.8492467      1.0251190     -0.5346726      1.1871244      2.1091709      5.6655531      0.1169874      3.4137209     -0.4165722      0.1978715      3.0573433      2.6621921      0.1126635      0.1038318      0.1010229
      0.4037615     82.6933648     15.4152820     16.2828336      1.2805541      0.8433829      1.0170349     -0.5264889      1.1893028      2.0943553      5.6298134      0.1170953      3.4527404     -0.4215996      0.2067831      3.0596742      2.6638608      0.1111397      0.1024014      0.0995001
      0.4136416     84.7168835     15.4857981     16.3667767      1.2685878      0.8372814      1.0085771     -0.5182486      1.1915178      2.0795450      5.5945436      0.1172242      3.4918276     -0.4283801      0.2161063      3.0652811      2.6659224      0.1096334      0.1009758      0.0978942
      0.4237420     86.7855197     15.5568493     16.4515147      1.2565611      0.8309580      0.9997998     -0.5099240      1.1937475      2.0644869      5.5594223      0.1173639      3.5341194     -0.4366244      0.2258031      3.0729866      2.6682371      0.1081130      0.0995559      0.0962764
      0.4340680     88.9003751     15.6285254     16.5371592      1.2443441      0.8244073      0.9907552     -0.5014691      1.1960179      2.0493676      5.5236262      0.1175047      3.5807656     -0.4455256      0.2357542      3.0817346      2.6707309      0.1065751      0.0981380      0.0948084
